YEAR,SUBDIVISION,ANNUAL,Monsoon_Rainfall,Rolling_3yr_Annual,Rainfall_Anomaly_Z,Flood_Label,State_mapped,flood_event_count,avg_severity,avg_duration_days,avg_fatalities,dominant_cause,dominant_cause_encoded,Rainfall_x_Anomaly,Annual_x_Monsoon,Anomaly_Squared,Monsoon_to_Annual_Ratio,Event_x_Severity,Duration_x_Fatality
1901,ANDAMAN & NICOBAR ISLANDS,3373.2,1696.3000000000002,3373.2,1.087033549794952,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,1843.9350105171773,5721959.16,1.1816419383798142,0.502875606240734,,0.0
1902,ANDAMAN & NICOBAR ISLANDS,3520.7,2185.9,3446.95,1.4467276476927666,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,3162.401965091619,7695898.13,2.0930208865986457,0.6208708477834781,,0.0
1903,ANDAMAN & NICOBAR ISLANDS,2957.4,1874.0,3283.7666666666664,0.0730619843311476,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,136.9181586365706,5542167.600000001,0.0053380535544048585,0.6336647033419059,,0.0
1904,ANDAMAN & NICOBAR ISLANDS,3079.6,1977.6,3185.9,0.3710593996742857,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,733.8070687958674,6090216.96,0.1376850780866413,0.6421613175666926,,0.0
1905,ANDAMAN & NICOBAR ISLANDS,2566.7,1624.9,2867.9,-0.8797006193886912,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,-1429.4255364446844,4170630.83,0.7738731797528469,0.6330696979270282,,0.0
1906,ANDAMAN & NICOBAR ISLANDS,2534.4,1465.8,2726.9,-0.958467530318178,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,-1404.9217059403852,3714923.52,0.9186600066742274,0.5783617401421963,,0.0
1907,ANDAMAN & NICOBAR ISLANDS,3347.9,1327.1,2816.333333333333,1.025336867240277,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,1360.7245565145715,4442998.09,1.0513156913221053,0.39639774068401756,,0.0
1908,ANDAMAN & NICOBAR ISLANDS,3576.4,2303.7000000000003,3152.9,1.5825578934751965,1,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,3645.7386191988107,8238952.680000002,2.5044894862006513,0.6441393562125619,,0.0
1910,ANDAMAN & NICOBAR ISLANDS,2899.4,1701.0,3274.566666666667,-0.0683770507744336,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,-116.30936336731155,4931879.4,0.00467542107260947,0.58667310275687,,0.0
1911,ANDAMAN & NICOBAR ISLANDS,2687.2,1553.6,3054.333333333333,-0.5858488309365784,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,-910.1747437430681,4174833.9199999995,0.34321885270975555,0.5781482562587517,,0.0
1912,ANDAMAN & NICOBAR ISLANDS,2960.5,1775.2,2849.0333333333333,0.0806216568971353,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,143.11956532379457,5255479.600000001,0.006499851560839404,0.5996284391162694,,0.0
1913,ANDAMAN & NICOBAR ISLANDS,2365.8,1596.6999999999998,2671.1666666666665,-1.3696161737457817,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,-2186.8661446198894,3777472.86,1.8758484633860353,0.6749091187974082,,0.0
1914,ANDAMAN & NICOBAR ISLANDS,2957.8,2007.4,2761.366666666667,0.0740374259525656,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,148.6227288571802,5937487.720000001,0.005481540441681634,0.678680097779836,,0.0
1915,ANDAMAN & NICOBAR ISLANDS,2741.3,1350.7,2688.3,-0.4539203516398197,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,-613.1102189599045,3702673.91,0.20604368563281755,0.4927224291660072,,0.0
1916,ANDAMAN & NICOBAR ISLANDS,2937.5,1753.6,2878.866666666667,0.0245337636656117,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,43.02240796401668,5151200.0,0.0006019055596000889,0.5969702107337184,,0.0
1917,ANDAMAN & NICOBAR ISLANDS,2612.4,1605.1,2763.7333333333336,-0.7682564141417066,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,-1233.1283703388533,4193163.2399999998,0.5902179178698734,0.6144158604562245,,0.0
1918,ANDAMAN & NICOBAR ISLANDS,3275.0,1670.4,2941.633333333333,0.8475626317368823,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,1415.7686200532883,5470560.0,0.71836241471675,0.5100457999693258,,0.0
1919,ANDAMAN & NICOBAR ISLANDS,2352.1,1219.5,2746.5,-1.4030250492793417,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,-1710.9890475961572,2868385.9499999997,1.968479288905299,0.5184728518410235,,0.0
1920,ANDAMAN & NICOBAR ISLANDS,2943.2,1814.1,2856.7666666666664,0.0384338067708149,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,69.72276886293531,5339259.119999999,0.0014771575028963372,0.6163699353887947,,0.0
1921,ANDAMAN & NICOBAR ISLANDS,2606.4,1681.0,2633.9,-0.7828880384629737,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,-1316.0347926562588,4381358.4,0.6129136807684026,0.6449508876421466,,0.0
1922,ANDAMAN & NICOBAR ISLANDS,3554.2,1751.0000000000002,3034.6,1.5284208834865076,1,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,2676.264966984875,6223404.2,2.3360703970776764,0.4926565739332155,,0.0
1923,ANDAMAN & NICOBAR ISLANDS,,2188.0,3080.3,,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,,,,,,0.0
1924,ANDAMAN & NICOBAR ISLANDS,,1296.6,3554.2,,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,,,,,,0.0
1925,ANDAMAN & NICOBAR ISLANDS,2480.5,1385.7,2480.5,-1.089908288804227,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,-1510.2859157960174,3437228.85,1.1879000780041584,0.558637369245566,,0.0
1926,ANDAMAN & NICOBAR ISLANDS,3282.2,1808.3,2881.35,0.8651205809224023,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,1564.39754648198,5935202.26,0.7484336195355148,0.5509414400373486,,0.0
1927,ANDAMAN & NICOBAR ISLANDS,2442.9,1124.8,2735.2000000000003,-1.1815998012175002,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,-1329.0634564094441,2747773.92,1.396178090237236,0.460436364728657,,0.0
1928,ANDAMAN & NICOBAR ISLANDS,2998.3,1612.8,2907.8,0.1728008901211181,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,278.69327558733926,4835658.24,0.02986014762665073,0.5379048109331793,,0.0
1929,ANDAMAN & NICOBAR ISLANDS,2926.6,1540.4,2789.2666666666664,-0.0020470205180235,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,-3.1532304059633995,4508134.64,4.190293001209198e-06,0.5263445618590017,,0.0
1930,ANDAMAN & NICOBAR ISLANDS,3075.1,1975.4,3000.0,0.3600856814333354,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,711.3132551034108,6074552.54,0.1296616979733095,0.6423856113869936,,0.0
1931,ANDAMAN & NICOBAR ISLANDS,2357.7,1548.1999999999998,2786.4666666666667,-1.3893688665794928,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,-2151.0208792383705,3650191.139999999,1.9303458474203843,0.6566569086115412,,0.0
1932,ANDAMAN & NICOBAR ISLANDS,,0.0,2716.4,,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,,,,,,0.0
1933,ANDAMAN & NICOBAR ISLANDS,2987.5,1973.9,2672.6,0.146463966342837,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,289.10522316412596,5897026.25,0.021451693436875693,0.6607196630603526,,0.0
1934,ANDAMAN & NICOBAR ISLANDS,3722.8,2717.9,3355.15,1.939569526914112,1,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,5271.556017199865,10118198.120000001,3.7619299497338323,0.7300687634842893,,0.0
1935,ANDAMAN & NICOBAR ISLANDS,3154.0,1733.3000000000002,3288.1,0.5524915412579972,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,957.6335884624866,5466828.2,0.30524690316163716,0.5495561174712869,,0.0
1936,ANDAMAN & NICOBAR ISLANDS,,2109.8,3438.4,,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,,,,,,0.0
1937,ANDAMAN & NICOBAR ISLANDS,3591.1,1863.8,3372.55,1.6184053730623,1,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,3016.3839343135146,6693092.18,2.6192359515569223,0.5190053172593208,,0.0
1938,ANDAMAN & NICOBAR ISLANDS,3264.4,1930.6,3427.75,0.8217134287693107,0,ANDAMAN AND NICOBAR,0.0,,9.8,0.0,No Event,8,1586.3999455820313,6302250.64,0.6752129590198171,0.5914103645649724,,0.0
